hire_date,emp_no,last_name,first_name,gender,birth_date
1/1/1986,64978,Janocha,Youssef,M,9/11/1963
1/1/1986,265749,Asmuth,Uri,F,3/15/1956
1/1/1986,29708,Undy,Sachar,M,5/7/1962
1/1/1986,13415,Speer,Nathalie,F,6/23/1955
1/1/1986,496085,Reinhard,Yongqiao,F,9/9/1961
1/1/1986,255744,Muntz,Mayuri,F,2/4/1963
1/1/1986,475924,Herath,Tran,M,10/12/1955
1/1/1986,219621,Brookman,Constantino,M,12/5/1954
1/1/1986,498761,Kaiserswerth,Chaoyi,M,10/9/1958
1/1/1986,487879,Fritzsche,Yongmao,M,11/9/1956
1/1/1986,22576,Reinhart,Shawna,F,2/11/1962
1/1/1986,448755,Reeker,Masaki,M,3/5/1954
1/1/1986,414357,Baek,Pranas,M,10/19/1963
1/1/1986,279357,Stiles,Manibrata,F,2/16/1962
1/1/1986,224288,Meriste,Kazunori,F,2/4/1954
1/1/1986,411185,Marrakchi,Abdelkader,F,9/13/1957
1/1/1986,417922,Bhattacharjee,Ziyad,M,5/7/1958
1/1/1986,48489,Nyanchama,Danae,F,6/23/1962
1/1/1986,219203,Cooley,Unal,F,11/10/1957
1/1/1986,458582,Sambasivam,Shir,M,11/30/1960
1/1/1986,52692,Debuse,Domenico,M,5/26/1962
1/1/1986,421721,Reinhart,Shao,F,9/26/1953
1/1/1986,259440,Shumilov,Subir,F,5/8/1953
1/1/1986,433424,Dulay,Yongqiao,F,3/17/1961
1/1/1986,434949,Lores,Hausi,M,3/10/1952
1/1/1986,77007,Kroft,Achilleas,F,5/21/1961
1/1/1986,89812,Vingron,Boriana,F,5/13/1952
1/1/1986,100812,Lanphier,Saniya,F,7/19/1963
1/1/1986,231980,Niizuma,Deniz,M,2/18/1958
1/1/1986,441840,Thiran,Stein,F,3/22/1964
1/1/1986,219853,Baaz,Shahid,M,6/4/1957
1/1/1986,100711,Rosca,Kwangyoen,M,10/28/1958
1/1/1986,208807,Shobatake,Zita,F,7/5/1952
1/1/1986,492784,Bahk,Mohammed,M,10/28/1957
1/1/1986,221613,Famili,Ziyad,M,10/23/1952
1/1/1986,37711,Godskesen,Sampalli,M,10/15/1957
1/1/1986,225277,Harbusch,Hercules,M,5/30/1952
1/1/1986,471203,Serot,Jianhao,M,11/30/1955
1/1/1986,232210,Stemann,Sumant,F,10/21/1963
1/1/1986,232578,Smeets,Guadalupe,M,3/9/1963
1/1/1986,214099,Prenel,Holgard,F,1/18/1954
1/1/1986,407967,Simkin,Tamiya,M,9/26/1954
1/1/1986,202218,Bergere,Kristian,M,3/24/1959
1/1/1986,492463,Zirintsis,Kwangjo,M,8/31/1954
1/1/1986,16483,Karlin,Kwangyoen,M,7/7/1964
1/1/1986,268761,Buescher,Zhanqiu,M,11/5/1955
1/1/1986,72864,McConalogue,Moie,M,4/2/1953
1/1/1986,47413,Comyn,Nirmal,F,5/7/1956
1/1/1986,29119,Felder,Toshiko,F,3/18/1958
1/1/1986,248293,Vanwelkenhuysen,Bedir,M,1/30/1961
1/1/1986,213442,Tibblin,Vidar,M,5/23/1963
1/1/1986,90916,Curless,Eishiro,M,1/23/1956
1/1/1986,13094,Servieres,Sanjay,F,12/19/1964
1/1/1986,224714,Orlowska,Mario,F,5/15/1956
1/1/1986,469053,Dymetman,Vidya,F,12/22/1955
1/1/1986,415376,Range,Sungwon,M,8/28/1954
1/1/1986,31961,Luce,Alejandra,M,5/9/1961
1/1/1986,26365,Veevers,Hercules,M,2/25/1962
1/1/1986,88386,Bondorf,Jiann,M,7/5/1955
1/1/1986,253787,Bottner,Filipe,M,3/17/1956
1/1/1986,445833,Stanger,Juyoung,M,6/22/1959
1/1/1986,424450,Jervis,Dzung,M,8/6/1958
1/1/1986,42013,Demri,Tianruo,M,7/31/1957
1/1/1986,245335,Schrift,Mario,F,3/27/1957
1/1/1986,417105,Rettelbach,Lijia,F,1/24/1959
1/1/1986,108318,Papastamatiou,Poorav,M,7/13/1961
1/1/1986,430556,Boguraev,Arlette,M,6/28/1961
1/1/1986,200640,Waterhouse,Shahar,F,5/8/1959
1/1/1986,483739,Bierbaum,Jiang,M,7/8/1964
1/1/1986,14845,Homond,Theron,F,8/10/1962
1/1/1986,476952,Duclos,Eirik,M,1/17/1957
1/1/1986,104764,Munke,Juichirou,M,2/17/1961
1/1/1986,262950,Vidal,Yinghua,M,7/4/1960
1/1/1986,465446,Soicher,Jaihie,F,12/2/1952
1/1/1986,262840,Masaki,Munehiko,F,4/25/1964
1/1/1986,482916,Kisuki,Vasilis,M,12/15/1962
1/1/1986,104083,Matteis,Basil,F,12/25/1963
1/1/1986,28637,Kenevan,Moto,M,9/29/1963
1/1/1986,103944,Dehkordi,Domenick,M,4/12/1963
1/1/1986,65089,Cooman,Giri,F,8/12/1956
1/2/1986,425942,Litvinov,Frazer,M,2/10/1952
1/2/1986,267387,Ghemri,Mohammad,M,2/18/1952
1/2/1986,227969,Mandell,Falguni,M,9/28/1952
1/2/1986,468647,Szmurlo,Seongbae,F,6/22/1962
1/2/1986,468741,Plavsic,Berhard,M,10/1/1961
1/2/1986,91774,Pietracaprina,Hugo,M,2/7/1952
1/2/1986,412814,Dahlbom,Khalid,M,4/27/1964
1/2/1986,440548,Eastman,Szabolcs,M,5/16/1955
1/2/1986,409790,Marrakchi,Miquel,F,8/8/1962
1/2/1986,251665,Granlund,Maria,F,2/28/1959
1/2/1986,200603,Koblitz,Shuho,M,8/22/1959
1/2/1986,68692,Monarch,Behnaam,M,9/5/1952
1/2/1986,425997,Besselaar,Elgin,M,1/25/1956
1/2/1986,29115,Furedi,Shiv,F,10/20/1964
