emp_no,birth_date,first_name,last_name,gender,hire_date
10282,11/27/1953,Hercules,Benzmuller,M,6/4/1986
11337,7/31/1964,Hercules,Brendel,F,11/20/1994
20780,11/17/1954,Hercules,Baranowski,M,3/9/1991
21870,7/6/1960,Hercules,Barreiro,M,11/18/1988
38161,10/12/1964,Hercules,Baer,M,2/17/1988
89382,9/3/1964,Hercules,Bernardinello,F,2/13/1987
89844,3/1/1954,Hercules,Basagni,M,10/25/1991
90712,8/28/1954,Hercules,Biran,F,9/7/1994
210097,8/27/1954,Hercules,Bernatsky,M,11/27/1985
213553,8/14/1961,Hercules,Bail,F,6/16/1987
236650,12/24/1964,Hercules,Birge,F,4/13/1994
241391,2/27/1962,Hercules,Bisiani,F,7/19/1985
250175,2/13/1959,Hercules,Bodoff,M,9/14/1985
276181,10/17/1957,Hercules,Biron,F,12/7/1994
279195,8/14/1964,Hercules,Buchter,M,4/16/1991
294352,7/16/1952,Hercules,Bain,F,10/17/1987
435221,10/17/1957,Hercules,Bahr,M,4/6/1995
438081,10/15/1960,Hercules,Baak,M,7/31/1991
461517,7/20/1963,Hercules,Benantar,F,6/8/1989
482148,4/5/1954,Hercules,Berstel,F,11/2/1989
